('302 E Beardsley Ave',' Elkhart',' IN','46514','138612207','126650'),
('206 W Turnpike St',' Vevay',' IN','47043','115592331','371252'),
('714 W Warren St',' Mitchell',' IN','47446','85550805','187919'),
('917 Mill St',' Mt Vernon',' IN','47620','85667144','263256'),
('503 N 2nd St',' Atchison',' KS','66002','122704190','467692'),
('508 N 2nd St',' Atchison',' KS','66002','233791447','66622'),
('935 Shawnee Rd',' Kansas City',' KS','66103','75692755','131555'),
('5325 Douglas Ave',' Kansas City',' KS','66106','75709299','196050'),
('1100 Fremont St',' Manhattan',' KS','66502','2113295739','144329'),
('SW 8th & SW Van Buren',' Topeka',' KS','66612','113180032','66866'),
('1433 Rd P',' Emporia',' KS','66801','228561571','200796'),
('90th St',' Florence',' KS','66851','235340696','218620'),
('702 Oak St',' El Dorado',' KS','67042','1320185','182592'),
('420 N Depot St',' Cherryvale',' KS','67335','77240326','115661'),
('2211 S Pope Lick Rd',' Louisville',' KY','40299','114102223','233906'),
('120 Sycamore Rd',' Lexington',' KY','40502','124044361','1893312'),
('201 N Mill St',' Lexington',' KY','40507','124045138','1059607'),
('370 N Broadway',' Lexington',' KY','40508','77510826','251821'),
('3970 Dixie Hwy',' Dry Ridge',' KY','41035','105818416','66965'),
('227 Sutton St',' Maysville',' KY','41056','234521678','137491'),
('1300 Winchester Ave',' Ashland',' KY','41101','105727855','88668'),
('16 Coral Hill-Halfway Rd',' Glasgow',' KY','42141','225204383','32197'),
('2390 Grapevine Rd',' Madisonville',' KY','42431','110367675','37482'),
('1580 Bethlehem Academy Rd',' Cecilia',' KY','42724','96934494','94553'),
('110 Frenier Rd',' Laplace',' LA','70068','106115981','157605'),
('621 Esplanade Ave',' New Orleans',' LA','70116','148976670','1351010'),
('1421 Bourbon St',' New Orleans',' LA','70116','73780994','746174'),
('700 Royal St',' New Orleans',' LA','70116','2130422789','674247'),
('833 Poland Ave',' New Orleans',' LA','70117','73795115','659664'),
('1725 St Roch Ave',' New Orleans',' LA','70117','84454465','357020'),
('519 Chretien Point Rd',' Sunset',' LA','70584','106135371','201998'),
('11910 Ellerbe Rd',' Shreveport',' LA','71115','248583379','1102188'),
('885 Washington Mountain Rd',' Washington',' MA','1223','2143810156','196903'),
('172 Church St',' North Adams',' MA','1247','2101742694','172513'),
('488 Brockelman Rd',' Lancaster',' MA','1523','57605491','157721'),
('16 Old Dudley Rd',' Oxford',' MA','1540','60027978','238143'),
('34 Eden Rd',' Rockport',' MA','1966','56959623','2459102'),
('22 Hardy St',' Salem',' MA','1970','56125282','624531'),
('356 Lafayette St',' Salem',' MA','1970','56123131','320417'),
('28 Howard St',' Salem',' MA','1970','62942898','274463'),
('310 Essex St',' Salem',' MA','1970','70599570','232130'),
('230 Playstead Rd',' Medford',' MA','2155','56274646','646432'),
('346 Pine St',' Bridgewater',' MA','2324','57153264','353211'),
('207 Sandwich St',' Plymouth',' MA','2360','246817681','585764'),
('2839 Main St',' Barnstable',' MA','2630','108612416','730455'),
('15 Breakwater Rd',' Brewster',' MA','2631','2129997044','2001755'),
('2019 Main St',' Brewster',' MA','2631','2135747878','819881'),
('12402 Quintette Ln',' Bowie',' MD','20720','37494529','500928'),
('9118 Brandywine Rd',' Clinton',' MD','20735','175943107','348571'),
('132 Old National Pike',' Hagerstown',' MD','21740','2118314896','227863'),
('115 Ivy Hill Dr',' Middletown',' MD','21769','36876943','467831'),
('30712 Michigan Ave',' Westland',' MI','48186','88759130','207692'),
('7095 107th Ave',' South Haven',' MI','49090','74602251','178115'),
('6282 143rd Ave',' Holland',' MI','49423','74588688','187228'),
('402 N Bridge St',' Bellaire',' MI','49615','106232277','665455'),
('2515 Tower Rd',' Vanderbilt',' MI','49795','106295516','143197'),
('502 Fisher St',' Marquette',' MI','49855','106476407','131428'),
('6940 Keats Ave S',' Cottage Grove',' MN','55016','2211196','1138978'),
('10 E Exchange St',' St Paul',' MN','55101','2091849485','121617'),
('1500 N Liberty St',' Independence',' MO','64050','2292277','1032036'),
('219 N Delaware St',' Independence',' MO','64050','2307144','355095'),
('3394 N Peace Church Ave',' Joplin',' MO','64801','125608505','109197'),
('1615 Grand Ave',' Carthage',' MO','64836','74904912','235780'),
('212 Springfield St',' Reeds',' MO','64859','125591131','68767'),
('1445 Harrison St',' Vicksburg',' MS','39180','78104213','292902'),
('2243 Waynesboro Shubuta Rd',' Waynesboro',' MS','39367','235512246','124320'),
('415 E Main St',' Jamestown',' NC','27282','55373643','2335534'),
